date,product_name,region,quantity,revenue
2023-01-02,Widget A,North,20,480.00
2023-01-02,Widget B,South,15,345.00
2023-01-03,Widget A,South,18,432.00
2023-01-03,Gadget C,North,22,638.00
2023-01-04,Widget B,North,17,391.00
2023-01-04,Gadget C,South,19,551.00
2023-01-05,Widget A,North,25,600.00
2023-01-05,Widget B,South,21,483.00
2023-01-06,Gadget C,North,16,464.00
2023-01-06,Widget A,South,24,576.00
2023-01-09,Widget B,North,19,437.00
2023-01-09,Gadget C,South,23,667.00
2023-01-10,Widget A,North,21,504.00
2023-01-10,Widget B,South,18,414.00
2023-01-11,Gadget C,North,20,580.00
2023-01-11,Widget A,South,17,408.00
2023-01-12,Widget B,North,22,506.00
2023-01-12,Gadget C,South,15,435.00
2023-01-13,Widget A,North,19,456.00
2023-01-13,Widget B,South,24,552.00
2023-01-16,Gadget C,North,18,522.00
2023-01-16,Widget A,South,21,504.00
2023-01-17,Widget B,North,16,368.00
2023-01-17,Gadget C,South,25,725.00
2023-01-18,Widget A,North,23,552.00
2023-01-18,Widget B,South,20,460.00
2023-01-19,Gadget C,North,17,493.00
2023-01-19,Widget A,South,19,456.00
2023-01-20,Widget B,North,21,483.00
2023-01-20,Gadget C,South,18,522.00
